No.;Time;;time 1;time 2;Delay;;Delay1;Delay2;jitter;;;;;;;;;;;;;;;Source;Destination;Protocol;Length;Info;;;
159;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
160;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
161;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
162;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
163;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
164;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
165;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
166;8.240.744;;8.240.744;8.240.744;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
167;8.240.744;;8.240.744;8.240.744;0;;865;865;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;387;443  >  63885 Len=345;;;
168;8.240.744;;8.240.744;8.241.609;865;;-312;553;865;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
169;8.241.609;;8.241.609;8.242.162;553;;-103;450;553;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
170;8.242.162;;8.242.162;8.242.612;450;;-205;245;450;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
171;8.242.612;;8.242.612;8.242.857;245;;-73;172;245;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
172;8.242.857;;8.242.857;8.243.029;172;;1;173;172;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
173;8.243.029;;8.243.029;8.243.202;173;;-22;151;173;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
174;8.243.202;;8.243.202;8.243.353;151;;-8;143;151;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
175;8.243.353;;8.243.353;8.243.496;143;;9;152;143;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
176;8.243.496;;8.243.496;8.243.648;152;;7;159;152;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
177;8.243.648;;8.243.648;8.243.807;159;;-1;158;159;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
178;8.243.807;;8.243.807;8.243.965;158;;86;244;158;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;90;63885  >  443 Len=48;;;
179;8.243.965;;8.243.965;8.244.209;244;;-66;178;244;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
180;8.244.209;;8.244.209;8.244.387;178;;-27;151;178;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
181;8.244.387;;8.244.387;8.244.538;151;;22645;22.796;151;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;77;63885  >  443 Len=35;;;
182;8.244.538;;8.244.538;8.267.334;22796;;168971;191.767;22796;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
183;8.267.334;;8.267.334;8.459.101;191767;;-160807;30.960;191767;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;68;443  >  63885 Len=26;;;
184;8.459.101;;8.459.101;8.490.061;30960;;19237;50.197;30960;;;;;;;;;;;;;;;192.168.1.16;40.119.211.203;TLSv1.2;98;Application Data;;;
185;8.490.061;;8.490.061;8.540.258;50197;;447411;497.608;50197;;;;;;;;;;;;;;;40.119.211.203;192.168.1.16;TLSv1.2;229;Application Data;;;
186;8.540.258;;8.540.258;9.037.866;497608;;-497531;77;497608;;;;;;;;;;;;;;;192.168.1.16;40.119.211.203;TCP;54;50280  >  443 [ACK] Seq=45 Ack=176 Win=258 Len=0;;;
187;9.037.866;;9.037.866;9.037.943;77;;1042388;1.042.465;77;;;;;;;;;;;;;;;zte_97:b2:1e;IntelCor_4e:37:0c;ARP;42;Who has 192.168.1.16? Tell 192.168.1.1;;;
188;9.037.943;;9.037.943;10.080.408;1042465;;1656020;2.698.485;1042465;;;;;;;;;;;;;;;IntelCor_4e:37:0c;zte_97:b2:1e;ARP;42;192.168.1.16 is at f8:94:c2:4e:37:0c;;;
189;10.080.408;;10.080.408;12.778.893;2698485;;-1687462;1.011.023;2698485;;;;;;;;;;;;;;;fe80::1;ff02::1;ICMPv6;110;Router Advertisement from c8:5a:9f:97:b2:1e;;;
190;12.778.893;;12.778.893;13.789.916;1011023;;182;1.011.205;1011023;;;;;;;;;;;;;;;192.168.1.16;239.255.255.250;SSDP;216;M-SEARCH * HTTP/1.1 ;;;
191;13.789.916;;13.789.916;14.801.121;1011205;;;;;;;;;;;;;;;;;;;;;;192.168.1.16;239.255.255.250;SSDP;216;M-SEARCH * HTTP/1.1 
192;14.801.121;;;;;;;Total Jitter;13.789.916;;;;;;;;;;;;;;;;;;192.168.1.16;239.255.255.250;SSDP;216;M-SEARCH * HTTP/1.1 
;;;;total delay;14801121;;;Rata rata jitter;72198,51309;;;;;;;;;;;;;;;;;;;;;;
;;;;rata rata delay;77492,7801;;;;;;;;;;;;;;;;;;;;;;;;;;
