No.;Time;;time 1;time 2;Delay;;Delay1;Delay2;jitter;;;;;;;;;;;;;;;Source;Destination;Protocol;Length;Info;;;
31;8.160.079;;8.160.079;8.166.306;6227;;-5950;277;6227;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
32;8.166.306;;8.166.306;8.166.583;277;;24965;25.242;277;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;1392;63885  >  443 Len=1350;;;
33;8.166.583;;8.166.583;8.191.825;25242;;-25055;187;25242;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;1154;63885  >  443 Len=1112;;;
34;8.191.825;;8.191.825;8.192.012;187;;47;234;187;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
35;8.192.012;;8.192.012;8.192.246;234;;-234;0;234;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;69;443  >  63885 Len=27;;;
36;8.192.246;;8.192.246;8.192.246;0;;947;947;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;797;443  >  63885 Len=755;;;
37;8.192.246;;8.192.246;8.193.193;947;;-413;534;947;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
38;8.193.193;;8.193.193;8.193.727;534;;237;771;534;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
39;8.193.727;;8.193.727;8.194.498;771;;-771;0;771;;;;;;;;;;;;;;;192.168.1.16;74.125.101.73;UDP;75;63885  >  443 Len=33;;;
40;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
41;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
42;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
43;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
44;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
45;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
46;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
47;8.194.498;;8.194.498;8.194.498;0;;0;0;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
48;8.194.498;;8.194.498;8.194.498;0;;492;492;0;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
49;8.194.498;;8.194.498;8.194.990;492;;-492;0;492;;;;;;;;;;;;;;;74.125.101.73;192.168.1.16;UDP;1392;443  >  63885 Len=1350;;;
